Type,WHOPPER® SANDWICHES,Calories,Calories from Fat,"Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium
(mg)","Total Carbs
(g)","Fiber
(g)","Sugar
(g)","Protein
(g)"
Beverages,Fat FREE Milk (8 fl oz),90,0,0,0,0,5,125,13,0,12,9
Beverages,1% Low Fat Chocolate Milk (8 fl oz),160,25,2.5,1.5,0,15,150,26,0,25,8
Beverages,Smoothie: Strawberry Banana 16 fl oz,310,10,1,0,0,0,55,71,3,50,4
Beverages,Oreo® Shake,720,180,20,12,0.5,65,540,118,1,98,16
Beverages,Chocolate Oreo® Shake,740,190,22,13,0.5,70,680,121,1,101,17
Beverages,Vanilla Milk Shake,580,140,15,10,0,60,420,98,0,85,14
Beverages,HERSHEY®’S Chocolate Milk Shake,610,140,16,10,0,60,500,103,1,88,14
Beverages,Strawberry Milk Shake,640,140,15,10,0,60,440,113,0,99,14
Beverages,Coca Cola classic® - 16 fl oz,210,0,0,0,0,0,50,58,0,58,0
Beverages,Coca Cola classic® - 20 fl oz,270,0,0,0,0,0,60,73,0,73,0
Beverages,Coca Cola classic® - 29 fl oz,290,0,0,0,0,0,85,105,0,105,0
Beverages,Coca Cola classic® - 38 fl oz,510,0,0,0,0,0,115,138,0,138,0
Beverages,Diet Coke® - 16 fl oz,0,0,0,0,0,0,70,0,0,0,0
Beverages,Diet Coke® - 20 fl oz,0,0,0,0,0,0,85,0,0,0,0
Beverages,Diet Coke® - 29 fl oz,0,0,0,0,0,0,120,0,0,0,0
Beverages,Diet Coke® - 38 fl oz,0,0,0,0,0,0,160,0,0,0,0
Beverages,Sprite® - 16 fl oz,210,0,0,0,0,0,95,56,0,56,0
Beverages,Sprite® - 20 fl oz,260,0,0,0,0,0,120,70,0,70,0
Beverages,Sprite® - 29 fl oz,380,0,0,0,0,0,170,102,0,102,0
Beverages,Sprite® - 38 fl oz,500,0,0,0,0,0,230,133,0,133,0
Beverages,Dr. Pepper® - 16 fl oz,190,0,0,0,0,0,60,52,0,51,0
Beverages,Dr. Pepper® - 20 fl oz,240,0,0,0,0,0,75,65,0,64,0
Beverages,Dr. Pepper® - 29 fl oz,350,0,0,0,0,0,105,94,0,93,0
Beverages,Dr. Pepper® - 38 fl oz,450,0,0,0,0,0,140,124,0,121,0
Beverages,Barq’s® Root Beer - 16 fl oz,240,0,0,0,0,0,100,65,0,65,0
Beverages,Barq’s® Root Beer - 20 fl oz,300,0,0,0,0,0,120,81,0,81,0
Beverages,Barq’s® Root Beer - 29 fl oz,350,0,0,0,0,0,180,118,0,118,0
Beverages,Barq’s® Root Beer - 38 fl oz,450,0,0,0,0,0,230,155,0,155,0
Beverages,Cherry Coke® - 16 fl oz,220,0,0,0,0,0,55,61,0,61,0
Beverages,Cherry Coke® - 20 fl oz,280,0,0,0,0,0,70,76,0,76,0
Beverages,Cherry Coke® - 29 fl oz,410,0,0,0,0,0,100,110,0,110,0
Beverages,Cherry Coke® - 38 fl oz,450,0,0,0,0,0,130,145,0,145,0
Beverages,Fanta® Orange - 16 fl oz,230,0,0,0,0,0,60,62,0,61,0
Beverages,Fanta® Orange - 20 fl oz,280,0,0,0,0,0,70,78,0,77,0
Beverages,Fanta® Orange - 29 fl oz,410,0,0,0,0,0,105,113,0,111,0
Beverages,Fanta® Orange - 38 fl oz,530,0,0,0,0,0,135,148,0,146,0
Beverages,Hi-C® Fruit Punch - 16 fl oz,220,0,0,0,0,0,75,62,0,60,0
Beverages,Hi-C® Fruit Punch - 20 fl oz,280,0,0,0,0,0,95,77,0,75,0
Beverages,Hi-C® Fruit Punch - 29 fl oz,410,0,0,0,0,0,135,111,0,109,0
Beverages,Hi-C® Fruit Punch - 38 fl oz,450,0,0,0,0,0,180,146,0,143,0
Beverages,MINUTE MAID® Light Lemonade - 16 fl oz,10,0,0,0,0,0,60,3,0,0,0
Beverages,MINUTE MAID® Light Lemonade - 20 fl oz,10,0,0,0,0,0,70,4,0,0,0
Beverages,MINUTE MAID® Light Lemonade - 29 fl oz,15,0,0,0,0,0,105,5,0,0,0
Beverages,MINUTE MAID® Light Lemonade - 38 fl oz,20,0,0,0,0,0,135,7,0,0,0
Beverages,Sweet Tea - 20 fl oz,120,0,0,0,0,0,0,35,0,35,0
Beverages,Sweet Tea - 29 fl oz,160,0,0,0,0,0,0,49,0,49,0
Beverages,Sweet Tea - 40 fl oz,240,0,0,0,0,0,0,71,0,71,0
Beverages,Capri Sun® 100% Apple Juice,80,0,0,0,0,0,25,20,0,20,0
Beverages,Minute Maid® Orange Juice,140,0,0,0,0,0,20,33,0,30,2
Beverages,Frozen Coke® – 16 oz,130,0,0,0,0,0,50,35,0,35,0
Beverages,BK® Café Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Coffee- 20 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Decaf Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Decaf Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Iced Vanilla Coffee- 12 fl oz,150,70,8,4,0,25,30,21,0,21,1
Beverages,BK® Café Iced Vanilla Coffee- 16 fl oz,200,90,10,5,0,30,40,27,0,27,2
Beverages,BK® Café Iced Vanilla Coffee- 20 fl oz,260,110,13,7,0,40,50,34,0,34,2
Beverages,BK® Café Iced Mocha Coffee- 12 fl oz,180,70,8,4,0,25,40,27,1,25,2
Beverages,BK® Café Iced Mocha Coffee- 16 fl oz,240,90,10,6,0,30,55,35,1,32,2
Beverages,BK® Café Iced Mocha Coffee- 20 fl oz,300,120,13,7,0,40,70,45,2,41,3
Beverages,BK® Café Mocha Frappe- 12 fl oz,300,80,8,5,0,30,200,50,1,41,7
Beverages,BK® Café Mocha Frappe- 16 fl oz,400,90,10,7,0,40,270,68,1,58,9
Beverages,BK® Café Mocha Frappe- 20 fl oz,510,110,13,8,0,50,350,87,1,71,12
Beverages,BK® Café Caramel Frappe- 12 fl oz,300,80,8,5,0,35,210,50,0,41,7
Beverages,BK® Café Caramel Frappe- 16 fl oz,400,90,10,7,0,40,280,68,0,56,9
Beverages,BK® Café Caramel Frappe- 20 fl oz,500,110,12,8,0,50,350,86,0,71,11
