Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
burgerking,Drink,Fanta® Orange - 20 fl oz,2.09,280,0,0,78,77,0.07
burgerking,Drink,Fanta® Orange - 29 fl oz,2.39,410,0,0,113,111,0.105
burgerking,Drink,Hi-C® Fruit Punch - 16 fl oz,1.79,220,0,0,62,60,0.075
burgerking,Drink,Hi-C® Fruit Punch - 20 fl oz,2.09,280,0,0,77,75,0.095
burgerking,Drink,Hi-C® Fruit Punch - 29 fl oz,2.39,410,0,0,111,109,0.135
burgerking,Drink,MINUTE MAID® Light Lemonade - 16 fl oz,1.79,10,0,0,3,0,0.06
burgerking,Drink,MINUTE MAID® Light Lemonade - 20 fl oz,2.09,10,0,0,4,0,0.07
burgerking,Drink,MINUTE MAID® Light Lemonade - 29 fl oz,2.39,15,0,0,5,0,0.105
burgerking,Drink,Sweet Tea - 16 fl oz,1.79,120,0,0,35,35,0
burgerking,Drink,Sweet Tea - 20 fl oz,2.09,160,0,0,49,49,0
burgerking,Drink,Sweet Tea - 29 fl oz,2.39,240,0,0,71,71,0
burgerking,Drink,Capri Sun® 100% Apple Juice,1.29,80,0,0,20,20,0.025
burgerking,Drink,Minute Maid® Orange Juice,1.69,140,2,0,33,30,0.02
burgerking,Drink,BK® Café Coffee- 12 fl oz,1.79,0,0,0,0,0,0
burgerking,Drink,BK® Café Coffee- 16 fl oz,2.09,0,0,0,0,0,0
burgerking,Drink,BK® Café Coffee- 20 fl oz,2.39,0,0,0,0,0,0
burgerking,Drink,BK® Café Decaf Coffee- 12 fl oz,1.59,0,0,0,0,0,0
burgerking,Drink,BK® Café Decaf Coffee- 16 fl oz,1.79,0,0,0,0,0,0
burgerking,Drink,BK® Café Iced Vanilla Coffee- 12 fl oz,2.39,150,1,8,21,21,0.03
burgerking,Drink,BK® Café Iced Vanilla Coffee- 16 fl oz,2.89,200,2,10,27,27,0.04
burgerking,Drink,BK® Café Iced Mocha Coffee- 12 fl oz,2.39,180,2,8,27,25,0.04
burgerking,Drink,BK® Café Iced Mocha Coffee- 16 fl oz,2.89,240,2,10,35,32,0.055
burgerking,Drink,BK® Café Mocha Frappe- 12 fl oz,2.39,300,7,8,50,41,0.2
burgerking,Drink,BK® Café Mocha Frappe- 16 fl oz,2.89,400,9,10,68,58,0.27
burgerking,Drink,BK® Café Caramel Frappe- 12 fl oz,2.39,300,7,8,50,41,0.21
burgerking,Drink,BK® Café Caramel Frappe- 16 fl oz,2.89,400,9,10,68,56,0.28
chick-fil-a,Breakfast,CROISSAN’WICH® Egg & Cheese,2.99,340,12,18,29,4,0.61
chick-fil-a,Breakfast,"CROISSAN’WICH® Sausage, Egg & Cheese",2.99,500,19,33,30,4,0.93
chick-fil-a,Breakfast,"CROISSAN’WICH® Ham, Egg & Cheese",2.99,370,17,19,30,5,1.03
chick-fil-a,Breakfast,"CROISSAN’WICH® Bacon, Egg & Cheese",2.99,370,14,21,30,4,0.76
chick-fil-a,Breakfast,"Ham, Egg, & Cheese Biscuit",2.99,400,17,24,29,3,1.55
chick-fil-a,Breakfast,"Sausage, Egg, & Cheese Biscuit",2.99,530,19,38,29,3,1.44
chick-fil-a,Breakfast,"Bacon, Egg & Cheese Biscuit",2.99,400,13,26,29,3,1.27
chick-fil-a,Breakfast,Sausage Biscuit,1,420,12,28,28,2,1.05
chick-fil-a,Breakfast,Breakfast Burrito Jr.,1,370,15,23,27,2,0.93
chick-fil-a,Breakfast,Pancake and Sausage platter,3.69,610,12,31,72,30,1.01
chick-fil-a,Breakfast,Hash Browns – small,1,250,2,16,24,0,0.58
chick-fil-a,Breakfast,Hash Browns – medium,1.69,500,4,33,48,0,1.14
chick-fil-a,Breakfast,Hash Browns – large,1.89,670,5,44,65,0,1.53
chick-fil-a,Breakfast,French Toast Sticks (3 piece),1,230,3,11,29,8,0.26
chick-fil-a,Breakfast,French Toast Sticks (5 piece),1.99,380,5,18,49,13,0.43
chick-fil-a,Breakfast,"Bacon, Egg & Cheese Biscuit",3.09,500,21,27,43,8,1.37
chick-fil-a,Breakfast,Biscuit,1.09,310,5,13,41,9,0.7
chick-fil-a,Breakfast,Chicken Biscuit,2.69,440,17,20,47,8,1.24
chick-fil-a,Breakfast,Chicken Breakfast Burrito,3.95,450,24,20,43,11,0.99
chick-fil-a,Breakfast,"Chicken, Egg & Cheese Bagel",3.99,480,29,20,49,12,1.23
chick-fil-a,Breakfast,Sausage Biscuit,2.69,590,16,41,42,9,1.25
chick-fil-a,Breakfast,Sausage Breakfast Burrito,3.55,510,23,29,40,11,0.97
chick-fil-a,Breakfast,Yogurt Parfait,2.45,230,6,3,44,15,0.06
chick-fil-a,Breakfast,Yogurt Parfait with Chocolate Cookie Crumbs,2.95,240,7,5,47,23,0.075
chick-fil-a,Breakfast,Yogurt Parfait with Granola,2.95,290,7,5,54,21,0.07
chick-fil-a,Sandwich,Chargrilled Chicken Club Sandwich,5.59,410,37,12,39,16,1.46
chick-fil-a,Sandwich,Chargrilled Chicken Sandwich,5.59,300,29,4,38,17,1.12
chick-fil-a,Side,Chick-n-Strips: 4 count,4.39,500,47,24,24,21,1.63
chick-fil-a,Sandwich,Chicken Deluxe Sandwich,3.65,500,35,21,43,18,1.63
chick-fil-a,Sandwich,Chicken Salad Sandwich,3.99,500,29,20,52,14,1.24
chick-fil-a,Sandwich,Chicken Sandwich,3.05,430,31,17,39,14,1.37
chick-fil-a,Side,Nuggets: 12-count,4.45,400,42,17,18,19,1.48
chick-fil-a,Sandwich,Spicy Chicken Deluxe Sandwich,3.89,580,36,27,48,13,1.88
chick-fil-a,Sandwich,Spicy Chicken Sandwich,3.29,490,31,20,46,58,1.73
chick-fil-a,Dessert,Chocolate Milkshake:Large,3.15,750,16,28,113,90,0.52
chick-fil-a,Dessert,Cookie & Cream Milkshake:Large,3.15,700,17,33,100,92,0.55
chick-fil-a,Dessert,Icecream:cone,1.65,170,5,4,31,31,0.115
chick-fil-a,Dessert,Peach Milkshake: Large,3.15,850,15,21,153,28,0.54
chick-fil-a,Dessert,Straw berry Milkshake: Large,3.15,770,16,28,118,28,0.53
chick-fil-a,Dessert,Vanilla Milkshake: Large,3.15,660,16,27,91,90,0.51
chick-fil-a,Drink,100% Colombian Coffee: Large,2.35,5,1,0,0,67,0.01
chick-fil-a,Drink,Chocolate Milk,1.19,160,6,2,21,54,0.19
chick-fil-a,Drink,Coca-Cola: Large,1.85,250,0,0,69,102,0.025
chick-fil-a,Drink,Dasani Bottled Water,1.59,0,0,0,0,2,0
chick-fil-a,Drink,Diet Coke: Large,1.85,5,0,0,0,6,0.01
chick-fil-a,Drink,Diet Lemonade: Large,1.85,30,0,0,11,6,0.015
chick-fil-a,Drink,Dr. Pepper: Larger,1.85,260,0,0,70,126,0.09
chick-fil-a,Drink,Iced Tea- Sweetened: Large,1.85,220,0,0,57,157,0.015
chick-fil-a,Drink,Iced Tea- Unsweetened: Large,1.85,0,0,0,0,120,0.02
chick-fil-a,Drink,Lemonade: Large,1.98,350,0,0,92,90,0.015
chick-fil-a,Drink,Milk,1.19,110,7,4,12,52,0.115
chick-fil-a,Drink,Minute Maid Apple Juice Box,1.09,100,0,0,23,70,0.015
chick-fil-a,Drink,Orange Juice,2.15,140,2,0,33,65,0
chick-fil-a,Salad,Chargrilled & Fruit Salad,8.19,230,22,6,23,15,0.65
chick-fil-a,Salad,Chargrilled Chicken Garden Salad,8.19,180,22,6,11,6,0.65
chick-fil-a,Salad,Chick-n-Strip Salad,8.19,470,41,23,27,8,1.34
chick-fil-a,Salad,Garlic and Butter Croutons,6.19,60,1,2,9,15,0.15
chick-fil-a,Salad,Southwest Chargrilled Salad,8.19,240,26,9,18,7,0.82
chick-fil-a,Sandwich,Chargrilled Chicken Cool Wrap,5.19,410,33,12,50,8,1.3
chick-fil-a,Sandwich,Chicken Caesar Cool Wrap,5.19,460,39,15,47,10,1.52
chick-fil-a,Sandwich,Spicy Chicken Cool Wrap,5.19,410,35,12,48,13,1.38
chick-fil-a,Salad,Chicken Salad Cup,5.15,350,27,24,6,4,1.1
chick-fil-a,Salad,Fruit Cup: large,4.25,100,1,0,27,10,0
chick-fil-a,Salad,Hearty Breast of Chicken Soup: large,8.35,220,12,6,30,5,1.76
chick-fil-a,Side,Side Salad,2.89,70,5,5,5,3,0.11
chick-fil-a,Side,Waffle Potato Fries: large,1.85,430,5,23,50,7,0.21
mcdonalds,Breakfast,Egg McMuffin,2.79,300,17,13,31,3,0.75
mcdonalds,Breakfast,Egg White Delight,2.79,250,18,8,30,3,0.77
mcdonalds,Breakfast,Sausage McMuffin,2.79,370,14,23,29,2,0.78
mcdonalds,Breakfast,Sausage McMuffin with Egg,2.99,450,21,28,30,2,0.86
mcdonalds,Breakfast,Sausage McMuffin with Egg Whites,2.79,400,21,23,30,2,0.88
mcdonalds,Breakfast,Steak & Egg McMuffin,3.99,430,26,23,31,3,0.96
mcdonalds,Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",3.19,460,19,26,38,3,1.3
mcdonalds,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",3.19,410,20,20,36,3,1.3
mcdonalds,Breakfast,Sausage Biscuit (Regular Biscuit),2.79,430,11,27,34,2,1.08
mcdonalds,Breakfast,Sausage Biscuit with Egg (Regular Biscuit),2.99,510,18,33,36,2,1.17
mcdonalds,Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),2.99,410,17,20,41,3,1.18
mcdonalds,Breakfast,"Bacon, Egg & Cheese McGriddles",2.79,460,19,21,48,15,1.25
mcdonalds,Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",3.29,400,20,15,47,16,1.25
mcdonalds,Breakfast,Sausage McGriddles,2.79,420,11,22,44,15,1.03
mcdonalds,Breakfast,"Sausage, Egg & Cheese McGriddles",2.79,550,20,31,48,15,1.32
mcdonalds,Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",3.29,500,21,26,46,15,1.32
mcdonalds,Breakfast,"Bacon, Egg & Cheese Bagel",2.79,620,30,31,57,7,1.48
mcdonalds,Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",3.29,570,30,25,55,8,1.48
mcdonalds,Breakfast,"Steak, Egg & Cheese Bagel",3.29,670,33,35,56,7,1.51
mcdonalds,Breakfast,Big Breakfast (Regular Biscuit),3.69,740,28,48,51,3,1.56
mcdonalds,Breakfast,Big Breakfast (Large Biscuit),5.49,800,28,52,56,3,1.68
mcdonalds,Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),5.49,640,26,37,50,3,1.59
mcdonalds,Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),5.49,1090,36,56,111,17,2.15
mcdonalds,Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),5.49,990,35,46,110,17,2.17
mcdonalds,Breakfast,Hotcakes,2.49,350,8,9,60,14,0.59
mcdonalds,Breakfast,Hotcakes and Sausage,3.19,520,15,24,61,14,0.93
mcdonalds,Breakfast,Sausage Burrito,2.39,300,12,16,26,2,0.79
mcdonalds,Sandwich,Big Mac,3.99,530,24,27,47,9,0.96
mcdonalds,Sandwich,Quarter Pounder with Cheese,3.79,520,30,26,41,10,1.1
mcdonalds,Sandwich,Double Quarter Pounder with Cheese,4.79,750,48,43,42,10,1.28
mcdonalds,Sandwich,Hamburger,0.89,240,12,8,32,6,0.48
mcdonalds,Sandwich,Cheeseburger,1,290,15,11,33,7,0.68
mcdonalds,Sandwich,Double Cheeseburger,2,430,24,21,35,7,1.04
mcdonalds,Sandwich,Bacon Clubhouse Burger,4.49,720,39,40,51,14,1.47
mcdonalds,Sandwich,McDouble,1.19,380,22,17,34,7,0.84
mcdonalds,Sandwich,McRib,3.69,500,22,26,44,11,0.98
mcdonalds,Sandwich,Bacon Clubhouse Crispy Chicken Sandwich,4.49,750,36,38,65,16,1.72
mcdonalds,Sandwich,Bacon Clubhouse Grilled Chicken Sandwich,4.49,590,40,25,51,14,1.56
mcdonalds,Sandwich,McChicken,1.75,360,14,16,40,5,0.8
mcdonalds,Sandwich,Premium McWrap Chicken & Bacon (Crispy Chicken),4.39,630,32,32,56,7,1.54
mcdonalds,Sandwich,Premium McWrap Chicken & Bacon (Grilled Chicken),4.39,480,36,19,42,6,1.37
mcdonalds,Sandwich,Premium McWrap Chicken & Ranch (Crispy Chicken),4.39,610,27,31,56,8,1.34
mcdonalds,Sandwich,Premium McWrap Chicken & Ranch (Grilled Chicken),4.39,450,30,18,42,6,1.17
mcdonalds,Sandwich,Premium McWrap Southwest Chicken (Crispy Chicken),4.39,670,27,33,68,12,1.48
mcdonalds,Sandwich,Premium McWrap Southwest Chicken (Grilled Chicken),4.39,520,31,20,55,10,1.32
mcdonalds,Sandwich,Chicken McNuggets (10 piece),4.49,470,22,30,30,0,0.9
mcdonalds,Sandwich,Chicken McNuggets (20 piece),5,940,44,59,59,0,1.8
mcdonalds,Sandwich,Chicken McNuggets (40 piece),8.99,1880,87,118,118,1,3.6
mcdonalds,Sandwich,Filet-O-Fish,3.79,390,15,19,39,5,0.59
mcdonalds,Salad,Premium Bacon Ranch Salad (without Chicken),4.59,140,9,7,10,4,0.3
mcdonalds,Salad,Premium Southwest Salad (without Chicken),4.79,140,6,4.5,20,6,0.15
mcdonalds,Side,Small French Fries,1.39,230,2,11,30,0,0.13
mcdonalds,Side,Medium French Fries,1.79,340,4,16,44,0,0.19
mcdonalds,Side,Large French Fries,1.89,510,6,24,67,0,0.29
mcdonalds,Side,Apple Slices,1,15,0,0,4,3,0
mcdonalds,Dessert,Baked Apple Pie,1,250,2,13,32,13,0.17
mcdonalds,Dessert,Chocolate Chip Cookie,0.39,160,2,8,21,15,0.09
mcdonalds,Dessert,Oatmeal Raisin Cookie,0.39,150,2,6,22,13,0.135
mcdonalds,Dessert,Hot Fudge Sundae,1.29,330,8,9,53,48,0.17
mcdonalds,Dessert,Hot Caramel Sundae,1.29,340,7,8,60,43,0.15
mcdonalds,Dessert,Strawberry Sundae,1.29,280,6,6,49,45,0.085
mcdonalds,Drink,Coca-Cola Classic (Small),1,140,0,0,39,39,0
mcdonalds,Drink,Coca-Cola Classic (Medium),1.29,200,0,0,55,55,0.005
mcdonalds,Drink,Coca-Cola Classic (Large),1.49,280,0,0,76,76,0.005
mcdonalds,Drink,Diet Coke (Small),1,0,0,0,0,0,0.01
mcdonalds,Drink,Diet Coke (Medium),1.29,0,0,0,0,0,0.02
mcdonalds,Drink,Diet Coke (Large),1.49,0,0,0,0,0,0.035
mcdonalds,Drink,Dr Pepper (Small),1,140,0,0,37,35,0.045
mcdonalds,Drink,Dr Pepper (Medium),1.29,190,0,0,53,51,0.065
mcdonalds,Drink,Dr Pepper (Large),1.49,270,0,0,72,70,0.09
mcdonalds,Drink,Diet Dr Pepper (Small),1,0,2,0,0,0,0.07
mcdonalds,Drink,Diet Dr Pepper (Medium),1.29,0,3,0,0,0,0.1
mcdonalds,Drink,Diet Dr Pepper (Large),1.49,0,4,0,0,0,0.14
mcdonalds,Drink,Sprite (Small),1,140,0,0,37,37,0.03
mcdonalds,Drink,Sprite (Medium),1.29,200,0,0,54,54,0.045
mcdonalds,Drink,Sprite (Large),1.49,280,0,0,74,74,0.06
mcdonalds,Drink,1% Low Fat Milk Jug,1,100,8,2.5,12,12,0.125
mcdonalds,Drink,Fat Free Chocolate Milk Jug,1.49,130,9,0,23,22,0.135
mcdonalds,Drink,Minute Maid 100% Apple Juice Box,1.29,80,0,0,21,19,0.015
mcdonalds,Drink,Minute Maid Orange Juice (Small),1,150,2,0,34,30,0
mcdonalds,Drink,Minute Maid Orange Juice (Medium),1.29,190,3,0,44,39,0
mcdonalds,Drink,Minute Maid Orange Juice (Large),1.49,280,4,0,65,58,0.005
mcdonalds,Drink,Dasani Water Bottle,1,0,0,0,0,0,0
mcdonalds,Drink,Iced Tea (Small),1,0,0,0,0,0,0.01
mcdonalds,Drink,Iced Tea (Medium),1.29,0,0,0,0,0,0.01
mcdonalds,Drink,Iced Tea (Large),1.49,0,0,0,0,0,0.015
mcdonalds,Drink,Sweet Tea (Small),1,150,1,0,36,36,0.01
mcdonalds,Drink,Sweet Tea (Medium),1.29,180,1,0,45,45,0.01
mcdonalds,Drink,Sweet Tea (Large),1.49,220,1,0,54,54,0.01
mcdonalds,Drink,Coffee (Small),1,0,0,0,0,0,0
mcdonalds,Drink,Coffee (Medium),1.29,0,0,0,0,0,0
mcdonalds,Drink,Coffee (Large),1.49,0,0,0,0,0,0
mcdonalds,Drink,Latte (Small),1.39,170,9,9,15,12,0.115
mcdonalds,Drink,Latte (Medium),1.79,210,11,10,18,15,0.14
mcdonalds,Drink,Latte (Large),1.99,280,15,14,24,20,0.18
mcdonalds,Drink,Caramel Latte (Small),1.39,270,9,9,40,38,0.115
mcdonalds,Drink,Caramel Latte (Medium),1.79,340,11,10,50,48,0.14
mcdonalds,Drink,Caramel Latte (Large),1.99,430,15,14,62,59,0.18
mcdonalds,Drink,Hazelnut Latte (Small),1.39,270,9,9,40,38,0.115
mcdonalds,Drink,Hazelnut Latte (Medium),1.79,330,11,10,50,47,0.14
mcdonalds,Drink,Hazelnut Latte (Large),1.99,430,15,14,62,58,0.18
mcdonalds,Drink,French Vanilla Latte (Small),1.39,260,9,9,38,36,0.115
mcdonalds,Drink,French Vanilla Latte (Medium),1.79,330,11,10,48,45,0.14
mcdonalds,Drink,French Vanilla Latte (Large),1.99,420,15,14,60,56,0.19
mcdonalds,Drink,Mocha (Small),1.39,340,10,11,49,42,0.15
mcdonalds,Drink,Mocha (Medium),1.79,410,13,14,60,53,0.19
mcdonalds,Drink,Mocha (Large),1.99,500,16,17,72,63,0.24
mcdonalds,Drink,Caramel Mocha (Small),1.39,320,10,11,45,40,0.17
mcdonalds,Drink,Caramel Mocha (Medium),1.79,390,12,14,55,50,0.22
mcdonalds,Drink,Caramel Mocha (Large),1.99,480,16,17,66,60,0.27
mcdonalds,Drink,Regular Iced Coffee (Small),1.39,140,1,4.5,23,22,0.035
mcdonalds,Drink,Regular Iced Coffee (Medium),1.79,190,1,7,31,30,0.05
mcdonalds,Drink,Regular Iced Coffee (Large),1.99,270,2,9,47,45,0.075
mcdonalds,Drink,Caramel Iced Coffee (Small),1.39,130,1,4.5,22,21,0.035
mcdonalds,Drink,Caramel Iced Coffee (Medium),1.79,180,1,7,29,28,0.05
mcdonalds,Drink,Caramel Iced Coffee (Large),1.99,260,2,9,43,42,0.065
mcdonalds,Drink,Hazelnut Iced Coffee (Small),1.39,130,1,4.5,21,20,0.035
mcdonalds,Drink,Hazelnut Iced Coffee (Medium),1.79,180,1,7,29,28,0.05
mcdonalds,Drink,Hazelnut Iced Coffee (Large),1.99,250,2,9,43,41,0.075
mcdonalds,Drink,French Vanilla Iced Coffee (Small),1.39,120,1,4.5,20,19,0.04
mcdonalds,Drink,French Vanilla Iced Coffee (Medium),1.79,170,1,7,27,26,0.055
mcdonalds,Drink,French Vanilla Iced Coffee (Large),1.99,240,2,9,41,39,0.08
mcdonalds,Drink,Iced Mocha (Small),1.39,290,8,11,41,34,0.125
mcdonalds,Drink,Iced Mocha (Medium),1.79,350,9,13,50,43,0.15
mcdonalds,Drink,Iced Mocha (Large),1.99,480,14,16,70,62,0.22
mcdonalds,Drink,Iced Caramel Mocha (Small),1.39,280,8,11,38,33,0.14
mcdonalds,Drink,Iced Caramel Mocha (Medium),1.79,340,9,13,46,41,0.17
mcdonalds,Drink,Iced Caramel Mocha (Large),1.99,460,13,16,65,59,0.25
mcdonalds,Drink,Frappé Mocha (Small),1.39,450,7,18,65,57,0.125
mcdonalds,Drink,Frappé Mocha (Medium),1.79,550,9,22,80,71,0.16
mcdonalds,Drink,Frappé Mocha (Large),1.99,670,11,26,98,88,0.19
mcdonalds,Drink,Frappé Caramel (Small),1.39,450,7,19,64,57,0.125
mcdonalds,Drink,Frappé Caramel (Medium),1.79,550,9,23,79,71,0.16
mcdonalds,Drink,Frappé Caramel (Large),1.99,670,11,27,96,88,0.19
mcdonalds,Drink,Blueberry Pomegranate Smoothie (Small),2.39,220,2,0.5,50,44,0.04
mcdonalds,Drink,Blueberry Pomegranate Smoothie (Medium),2.89,260,3,1,62,54,0.05
mcdonalds,Drink,Blueberry Pomegranate Smoothie (Large),3.39,340,4,1,79,70,0.065
mcdonalds,Drink,Strawberry Banana Smoothie (Small),2.39,210,3,0.5,47,44,0.05
mcdonalds,Drink,Strawberry Banana Smoothie (Medium),2.89,250,4,1,58,54,0.06
mcdonalds,Drink,Strawberry Banana Smoothie (Large),3.39,330,5,1,74,70,0.08
mcdonalds,Drink,Mango Pineapple Smoothie (Small),2.39,210,2,0.5,50,46,0.04
mcdonalds,Drink,Mango Pineapple Smoothie (Medium),2.89,260,3,1,61,56,0.045
mcdonalds,Drink,Mango Pineapple Smoothie (Large),3.39,340,4,1,78,72,0.06
mcdonalds,Drink,Vanilla Shake (Small),2.19,530,11,15,86,63,0.16
mcdonalds,Drink,Vanilla Shake (Medium),2.59,660,14,19,109,81,0.2
mcdonalds,Drink,Vanilla Shake (Large),2.99,820,18,23,135,101,0.26
mcdonalds,Drink,Strawberry Shake (Small),2.19,550,12,16,90,79,0.16
mcdonalds,Drink,Strawberry Shake (Medium),2.59,690,15,20,114,100,0.21
mcdonalds,Drink,Strawberry Shake (Large),2.99,850,18,24,140,123,0.26
mcdonalds,Drink,Chocolate Shake (Small),2.19,560,12,16,91,77,0.24
mcdonalds,Drink,Chocolate Shake (Medium),2.59,700,15,20,114,97,0.3
mcdonalds,Drink,Chocolate Shake (Large),2.99,850,19,23,141,120,0.38
mcdonalds,Drink,Shamrock Shake (Medium),2.59,660,14,19,109,93,0.21
mcdonalds,Drink,Shamrock Shake (Large),2.99,820,18,23,135,115,0.26
mcdonalds,Dessert,McFlurry with M&M’s Candies (Small),1.79,650,13,23,96,89,0.18
mcdonalds,Dessert,McFlurry with M&M’s Candies (Medium),2.39,930,20,33,139,128,0.26
mcdonalds,Dessert,McFlurry with Oreo Cookies (Small),1.79,510,12,17,80,64,0.28
mcdonalds,Dessert,McFlurry with Oreo Cookies (Medium),2.39,690,15,23,106,85,0.38
mcdonalds,Dessert,McFlurry with Reese's Peanut Butter Cups (Medium),1.79,810,21,32,114,103,0.4
mcdonalds,Dessert,McFlurry with Reese's Peanut Butter Cups (Snack),2.39,410,10,16,57,51,0.2
starbucks,Breakfast,Almond Croissant,3.25,420,22,45,13,10,0.39
starbucks,Dessert,Banana Nut Bread,2.29,420,22,52,30,6,0.32
starbucks,Dessert,Birthday Cake Slice,3.5,170,9,23,18,1,0.11
starbucks,Dessert,Blueberry Muffin,3.19,360,15,52,33,5,0.27
starbucks,Dessert,Blueberry Oat Cake,2.45,390,12,71,33,7,0.43
starbucks,Dessert,Blueberry Scone,2.45,380,17,54,22,6,0.35
starbucks,Breakfast,Butter Croissant,2.45,260,15,27,5,5,0.32
starbucks,Breakfast,Cheese Danish,2.45,290,14,33,11,7,0.4
starbucks,Dessert,Chocolate Cake Slice,3.5,160,8,23,18,2,0.08
starbucks,Dessert,Chocolate Chip Cookie,1.95,360,18,47,31,6,0.22
starbucks,Dessert,Chocolate Croissant,3.25,340,20,38,13,5,0.28
starbucks,Dessert,Cinnamon Raisin Bagel,3,270,1,58,11,9,0.37
